timestamp,farm_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,activity_level,feed_intake_percent,water_intake_percent,location_lat,location_lon,activity_level_normalized
2026-09-14,FARM-0002,cattle,75,0,0,38.44,7.21,96.82,91.01,-11.2556,27.7863,0.37540285843251125
2026-09-14,FARM-0003,sheep,251,5,1,38.82,6.58,85.84,96.11,-3.3394,34.2419,-0.7546271879074798
2026-09-14,FARM-0004,cattle,98,1,0,38.97,7.1,89.21,83.19,-25.355,26.2228,0.1780960249445757
2026-09-14,FARM-0005,goat,112,2,0,39.01,7.28,89.32,88.2,-29.2658,20.8651,0.5009617524702885
2026-09-14,FARM-0006,sheep,409,6,1,38.01,7.44,89.03,81.36,-29.5669,20.2525,0.7879535102709215
2026-09-14,FARM-0007,cattle,65,0,0,38.26,7.42,94.25,82.22,-8.555,32.2312,0.7520795405458416
2026-09-14,FARM-0008,swine,60,2,0,38.05,6.4,89.95,82.38,-20.603,22.4929,-1.0774929154331911
2026-09-14,FARM-0009,cattle,398,8,2,38.15,6.63,94.31,75.09,3.7973,22.1823,-0.6649422635947824
2026-09-14,FARM-0010,goat,442,9,1,38.87,7.74,85.55,89.83,-28.6296,36.5769,1.3260630561471074
2026-09-15,FARM-0001,sheep,93,2,0,39.06,6.45,87.59,86.25,-20.8972,38.3932,-0.9878079911204937
2026-09-15,FARM-0002,cattle,325,8,1,39.13,7.8,101.38,88.48,1.7774,34.5001,1.433684965322344
2026-09-15,FARM-0003,sheep,436,2,0,38.86,7.01,85.12,86.17,-8.202,26.3357,0.016663161181720048
2026-09-15,FARM-0004,sheep,142,1,0,38.52,7.43,89.25,90.35,-20.3148,42.0175,0.7700165254083807
2026-09-15,FARM-0005,sheep,194,3,1,38.8,7.38,88.4,98.41,-1.7998,26.9114,0.6803316010956834
2026-09-15,FARM-0006,poultry,79,2,0,38.08,7.24,87.6,81.31,-3.4608,44.5259,0.4292138130201303
2026-09-15,FARM-0007,sheep,97,3,1,38.36,6.73,91.53,86.49,-19.278,27.4064,-0.485572414969386
2026-09-15,FARM-0008,goat,418,12,4,37.86,6.21,89.8,91.93,-18.7745,37.7134,-1.4182956278214431
2026-09-15,FARM-0009,swine,392,4,1,38.32,6.77,98.1,87.79,-8.6382,34.0927,-0.41382447551922935
2026-09-15,FARM-0010,cattle,84,1,0,38.73,6.89,86.7,89.06,-27.6814,21.5803,-0.19858065716875467
2026-09-16,FARM-0001,poultry,329,1,0,38.56,6.35,89.99,81.31,-5.4453,22.2061,-1.16717783974589
2026-09-16,FARM-0002,goat,390,14,3,38.3,8.21,91.93,89.2,-22.6235,33.624,2.1691013446864673
2026-09-16,FARM-0003,cattle,150,5,1,38.78,6.5,87.7,90.26,-14.5335,37.5237,-0.8981230668077963
2026-09-16,FARM-0004,swine,396,14,2,38.66,6.86,94.96,80.4,-9.6125,44.292,-0.25239161175637215
2026-09-16,FARM-0005,goat,167,4,1,37.9,6.62,92.12,79.35,-15.7977,36.0889,-0.6828792484573216
2026-09-16,FARM-0006,poultry,175,7,1,38.93,6.91,90.47,90.33,-25.9454,26.0429,-0.16270668744367475
2026-09-16,FARM-0007,swine,131,3,1,37.66,7.22,89.6,88.91,-14.7886,33.6852,0.3933398432950504
2026-09-16,FARM-0008,poultry,365,3,0,38.94,6.71,89.49,95.89,-10.0751,37.6718,-0.5214463846944659
2026-09-16,FARM-0009,cattle,486,8,3,39.09,7.52,89.96,82.04,-1.769,40.7593,0.9314493891712364
2026-09-16,FARM-0010,swine,287,9,2,43.55689362089323,7.19,85.76,85.4,-1.6937,43.6064,0.3395288887074329
2026-09-17,FARM-0001,poultry,116,0,0,38.19,7.56,90.55,90.27,-15.2772,40.5456,1.0031973286213947
2026-09-17,FARM-0002,sheep,286,4,1,38.57,6.67,88.19,88.58,-19.8328,24.0166,-0.5931943241446241
2026-09-17,FARM-0003,cattle,487,8,3,38.86,6.75,92.23,82.27,-21.1963,21.1042,-0.4496984452443077
2026-09-17,FARM-0004,cattle,318,0,0,38.69,7.01,91.97,89.86,-2.342,25.0206,0.016663161181720048
2026-09-17,FARM-0005,cattle,497,14,3,39.14,7.03,85.21,77.35,-1.0781,27.3413,0.05253713090679996
2026-09-17,FARM-0006,cattle,365,7,1,38.62,7.01,85.21,86.4,-26.1935,21.3912,0.016663161181720048
2026-09-17,FARM-0007,poultry,327,10,1,39.23,6.54,79.25,88.03,3.6087,44.5912,-0.8263751273576381
2026-09-17,FARM-0008,sheep,153,1,0,43.57410229226309,7.04,85.15,86.7,-16.2842,30.6521,0.07047411576933912
2026-09-17,FARM-0009,cattle,121,0,0,38.86,7.07,87.02,88.69,-27.3985,42.741,0.1242850703569582
2026-09-17,FARM-0010,goat,271,5,0,38.58,7.97,88.04,79.84,-11.4035,20.4179,1.7386137079855162
2026-09-18,FARM-0001,goat,242,7,2,38.47,6.32,95.94,90.3,-7.5358,27.4676,-1.2209887943335076
2026-09-18,FARM-0002,sheep,227,2,0,38.72,7.07,78.1,85.3,-20.7742,43.6931,0.1242850703569582
2026-09-18,FARM-0003,goat,422,4,0,37.92,6.28,88.21,78.11,3.9708,28.4398,-1.2927367337836657
2026-09-18,FARM-0004,goat,316,6,2,39.42,6.51,91.54,86.62,4.0443,25.625,-0.8801860819452572
2026-09-18,FARM-0005,cattle,379,10,4,38.83,8.12,84.57,83.71,-2.8819,23.5085,2.0076684809236083
2026-09-18,FARM-0006,cattle,256,2,0,39.26,7.29,96.1,84.76,-21.0785,26.3694,0.5188987373328278
2026-09-18,FARM-0007,cattle,480,10,2,38.44,6.69,94.71,91.89,2.0352,25.3859,-0.5573203544195443
2026-09-18,FARM-0008,goat,321,7,3,38.87,7.12,84.13,90.34,-10.2878,32.0762,0.2139699946696556
2026-09-18,FARM-0009,swine,453,8,1,38.69,7.62,94.3,88.51,2.7269,32.6,1.1108192377966328
2026-09-18,FARM-0010,cattle,343,6,1,38.75,7.22,82.74,83.27,3.3864,28.3637,0.3933398432950504
2026-09-19,FARM-0001,goat,478,17,3,38.59,6.2,83.25,89.23,4.2944,44.6757,-1.4362326126839822
2026-09-19,FARM-0002,cattle,154,4,1,38.33,7.05,88.38,89.86,-4.1308,23.3945,0.08841110063187829
2026-09-19,FARM-0003,sheep,247,7,1,37.52,7.18,89.02,89.23,-20.7849,33.533,0.32159190384489217
2026-09-19,FARM-0004,sheep,342,7,3,38.41,7.17,86.68,86.5,-0.3141,36.6186,0.303654918982353
2026-09-19,FARM-0005,poultry,324,10,4,38.53,6.84,107.22,85.75,-3.1589,38.1622,-0.28826558148145204
2026-09-19,FARM-0006,cattle,269,2,0,37.19,6.7,93.18,92.87,-16.7445,38.6093,-0.539383369557005
2026-09-19,FARM-0007,poultry,154,5,1,38.67,6.87,100.69,80.69,-2.0946,21.2839,-0.23445462689383298
2026-09-19,FARM-0008,poultry,223,8,2,38.97,2.373049800272168,86.54,85.98,-7.3825,23.1043,-8.300627392905062
2026-09-19,FARM-0009,poultry,101,1,0,39.07,6.63,91.38,82.75,4.9508,35.8806,-0.6649422635947824
2026-09-19,FARM-0010,swine,101,1,0,37.75,6.81,89.18,86.4,2.6749,40.3268,-0.3420765360690711
2026-09-20,FARM-0001,cattle,473,11,2,38.46,6.54,90.29,88.05,-7.5144,31.6487,-0.8263751273576381
2026-09-20,FARM-0002,sheep,221,5,1,38.73,6.4,87.74,87.14,-3.1662,40.7694,-1.0774929154331911
2026-09-20,FARM-0003,sheep,138,4,1,43.02774445822686,7.07,90.83,85.42,-16.7739,30.1566,0.1242850703569582
2026-09-20,FARM-0004,poultry,291,8,2,38.72,6.84,87.04,97.77,-28.0116,35.4244,-0.28826558148145204
2026-09-20,FARM-0005,goat,218,6,1,38.43,6.6,86.4,84.9,2.789,36.4374,-0.7187532181824015
2026-09-20,FARM-0006,swine,73,2,0,38.41,6.89,86.45,82.01,-10.6411,38.663,-0.19858065716875467
2026-09-20,FARM-0007,goat,193,5,1,38.49,6.71,97.49,88.3,3.786,20.4077,-0.5214463846944659
2026-09-20,FARM-0008,cattle,420,2,0,37.99,7.74,96.94,80.7,1.5352,30.1202,1.3260630561471074
2026-09-20,FARM-0009,cattle,96,1,0,37.95,7.61,86.4,95.14,-17.3033,33.3854,1.0928822529340936
2026-09-20,FARM-0010,goat,362,4,1,38.15,7.16,95.2,81.64,-14.8776,26.7939,0.28571793411981383
