farm_id,date,tag_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,feed_intake_percent,water_intake_percent,activity_level,location_lat,location_lon,activity_level_normalized
FARM-0006,2026-09-09,FARM-0006-GOA-HERD,goat,453,12,3,37.71,92.45,88.11,8.09,-2.8938,36.0846,1.553966866758383
FARM-0007,2026-09-09,FARM-0007-CAT-HERD,cattle,385,2,0,39.0,84.51,86.56,7.21,-16.2897,26.9288,0.3549950225689087
FARM-0008,2026-09-09,FARM-0008-POU-HERD,poultry,495,10,2,38.36,89.08,88.75,6.52,-28.6585,20.4235,-0.5851079007160208
FARM-0009,2026-09-09,FARM-0009-CAT-HERD,cattle,67,0,0,43.88739447779255,100.72,79.05,7.76,2.3516,31.0633,1.10435242518733
FARM-0010,2026-09-09,FARM-0010-GOA-HERD,goat,482,14,1,38.56,89.98,85.23,6.8,2.5958,43.766,-0.2036168593830058
FARM-0001,2026-09-10,FARM-0001-SHE-HERD,sheep,394,6,2,38.79,91.15,83.72,6.74,-27.4354,23.1771,-0.2853649396686513
FARM-0002,2026-09-10,FARM-0002-POU-HERD,poultry,463,8,2,38.28,92.98,84.11,6.52,-18.3593,21.8475,-0.5851079007160208
FARM-0003,2026-09-10,FARM-0003-CAT-HERD,cattle,257,3,0,37.88,85.71,81.88,6.84,-16.0346,33.2833,-0.14911813919257508
FARM-0004,2026-09-10,FARM-0004-GOA-HERD,goat,370,5,1,37.94,85.59,81.22,6.24,-21.4836,33.3373,-0.9665989420490345
FARM-0005,2026-09-10,FARM-0005-POU-HERD,poultry,211,34,1,39.01,89.1,84.57,6.75,-29.2913,35.0851,-0.27174025962104387
FARM-0006,2026-09-10,FARM-0006-SHE-HERD,sheep,172,0,0,38.22,96.98,86.14,6.81,-13.5316,37.4785,-0.18999217933539841
FARM-0007,2026-09-10,FARM-0007-CAT-HERD,cattle,312,12,4,38.92,89.94,81.75,6.89,1.3761,40.7991,-0.080994738954537
FARM-0008,2026-09-10,FARM-0008-CAT-HERD,cattle,343,8,4,38.72,85.33,80.98,6.65,-22.2599,25.988,-0.40798706009712005
FARM-0009,2026-09-10,FARM-0009-SHE-HERD,sheep,237,0,0,38.71,89.08,86.88,8.6,-26.9535,40.0504,2.248825549186374
FARM-0010,2026-09-10,FARM-0010-SHE-HERD,sheep,487,2,0,37.93,85.88,82.19,6.69,-29.3155,29.5499,-0.3534883399066893
FARM-0001,2026-09-11,FARM-0001-POU-HERD,poultry,256,3,0,38.38,86.4,87.79,6.34,-14.197,37.2006,-0.8303521415729583
FARM-0002,2026-09-11,FARM-0002-POU-HERD,poultry,280,7,2,37.69,83.02,84.37,7.06,-6.1513,41.4888,0.1506248218547932
FARM-0003,2026-09-11,FARM-0003-POU-HERD,poultry,447,17,5,38.76,91.91,81.15,6.92,-16.6418,20.6003,-0.040120698811713665
FARM-0004,2026-09-11,FARM-0004-SWI-HERD,swine,99,2,0,38.69,84.1,85.42,7.34,-24.1491,31.2115,0.5321158631878082
FARM-0005,2026-09-11,FARM-0005-CAT-HERD,cattle,356,3,0,37.81,89.42,84.22,7.11,4.1505,25.1827,0.2187482220928325
FARM-0006,2026-09-11,FARM-0006-GOA-HERD,goat,250,5,1,38.19,92.76,80.46,6.89,-4.3383,33.9057,-0.080994738954537
FARM-0007,2026-09-11,FARM-0007-CAT-HERD,cattle,347,11,3,38.27,97.57,89.3,6.65,-26.6316,44.1161,-0.40798706009712005
FARM-0008,2026-09-11,FARM-0008-SHE-HERD,sheep,254,1,0,38.37,96.85,92.27,7.43,-2.3491,23.4376,0.654737983616277
FARM-0009,2026-09-11,FARM-0009-SWI-HERD,swine,435,6,1,38.16,94.83,80.88,7.2,-29.8142,30.1867,0.34137034252130133
FARM-0010,2026-09-11,FARM-0010-GOA-HERD,goat,152,1,0,39.34,98.68,80.85,6.94,4.2832,37.1703,-0.012871338716497708
FARM-0001,2026-09-12,FARM-0001-GOA-HERD,goat,117,0,0,39.24,98.27,85.94,5.8,-29.8274,42.0037,-1.5660848641437723
FARM-0002,2026-09-12,FARM-0002-POU-HERD,poultry,73,2,0,38.65,94.47,84.66,6.66,4.2458,28.2697,-0.3943623800495127
FARM-0003,2026-09-12,FARM-0003-SWI-HERD,swine,69,1,0,38.61,92.55,89.96,6.97,-20.5568,20.1123,0.028002701426324418
FARM-0004,2026-09-12,FARM-0004-GOA-HERD,goat,214,6,1,38.62,84.66,80.75,7.04,-7.9087,33.9777,0.12337546175957846
FARM-0005,2026-09-12,FARM-0005-SWI-HERD,swine,142,4,1,38.6,97.28,90.83,6.44,-28.5273,39.967,-0.6941053410968809
FARM-0006,2026-09-12,FARM-0006-POU-HERD,poultry,54,0,0,38.31,88.24,87.86,8.05,-1.1463,21.8875,1.4994681465679536
FARM-0007,2026-09-12,FARM-0007-CAT-HERD,cattle,255,2,0,38.42,93.08,83.11,6.19,-2.826,29.0002,-1.0347223422870726
FARM-0008,2026-09-12,FARM-0008-SHE-HERD,sheep,169,1,0,38.51,93.32,95.21,7.62,3.3815,43.7722,0.9136069045208232
FARM-0009,2026-09-12,FARM-0009-SHE-HERD,sheep,340,10,2,39.63,94.21,84.82,6.25,-25.8668,42.6779,-0.9529742620014272
FARM-0010,2026-09-12,FARM-0010-POU-HERD,poultry,143,3,0,38.88,89.15,83.36,6.63,-11.6223,22.7945,-0.435236420192336
FARM-0001,2026-09-13,FARM-0001-SHE-HERD,sheep,236,5,1,38.39,88.64,84.22,7.1,-10.4278,31.5502,0.20512354204522393
FARM-0002,2026-09-13,FARM-0002-SHE-HERD,sheep,283,7,2,38.9,92.05,89.26,7.06,-23.8806,35.2374,0.1506248218547932
FARM-0003,2026-09-13,FARM-0003-GOA-HERD,goat,73,0,0,38.92,94.87,77.9,7.26,-23.0683,33.6297,0.4231184228069468
FARM-0004,2026-09-13,FARM-0004-SHE-HERD,sheep,105,2,0,38.32,85.59,87.62,7.05,-28.9334,35.9359,0.13700014180718584
FARM-0005,2026-09-13,FARM-0005-POU-HERD,poultry,157,2,0,39.02,93.33,76.89,6.6,-3.374,23.5883,-0.47611046033515936
FARM-0006,2026-09-13,FARM-0006-SWI-HERD,swine,455,6,1,37.9,91.99,84.42,7.02,-20.5348,37.2781,0.0961261016643625
FARM-0007,2026-09-13,FARM-0007-GOA-HERD,goat,158,6,1,38.55,37.54060646988738,92.36,6.85,-12.8914,26.3589,-0.13549345914496772
FARM-0008,2026-09-13,FARM-0008-POU-HERD,poultry,332,6,1,37.8,83.2,88.77,7.05,-21.3749,24.0003,0.13700014180718584
FARM-0009,2026-09-13,FARM-0009-CAT-HERD,cattle,427,13,3,38.16,83.77,94.95,6.52,-2.2614,22.4049,-0.5851079007160208
FARM-0010,2026-09-13,FARM-0010-POU-HERD,poultry,227,11,4,38.65,91.86,88.59,7.14,-8.0065,35.5677,0.25962226223565465
FARM-0001,2026-09-14,FARM-0001-CAT-HERD,cattle,202,5,0,38.49,93.06,85.32,7.65,-3.139,24.0806,0.9544809446636465
FARM-0002,2026-09-14,FARM-0002-POU-HERD,poultry,266,1,0,38.5,91.65,90.08,7.29,-23.3344,35.619,0.4639924629497701
FARM-0003,2026-09-14,FARM-0003-CAT-HERD,cattle,139,1,0,38.97,92.98,83.59,7.48,1.6173,20.9276,0.7228613838543163
FARM-0004,2026-09-14,FARM-0004-POU-HERD,poultry,488,9,2,38.06,94.27,83.51,6.67,-11.8774,38.5428,-0.3807377000019053
FARM-0005,2026-09-14,FARM-0005-POU-HERD,poultry,345,7,2,38.16,94.68,84.4,6.41,-16.9999,42.8081,-0.7349793812397043
FARM-0006,2026-09-14,FARM-0006-SWI-HERD,swine,433,10,2,38.44,95.49,80.7,7.28,-5.9285,37.6265,0.4503677829021627
FARM-0007,2026-09-14,FARM-0007-POU-HERD,poultry,477,8,3,39.23,94.23,77.26,8.03,-6.9266,31.0194,1.4722187864727365
FARM-0008,2026-09-14,FARM-0008-SHE-HERD,sheep,221,1,0,38.7,34.3889031163143,77.73,6.78,-6.2013,26.2814,-0.23086621947822056
FARM-0009,2026-09-14,FARM-0009-GOA-HERD,goat,81,1,0,38.44,86.51,90.65,7.06,-14.0313,40.9091,0.1506248218547932
FARM-0010,2026-09-14,FARM-0010-CAT-HERD,cattle,294,3,0,38.64,93.98,86.14,7.25,-21.4649,42.6165,0.40949374275933936
FARM-0001,2026-09-15,FARM-0001-SHE-HERD,sheep,106,3,1,39.06,92.68,85.01,6.82,-25.762,41.6323,-0.17636749928778983
FARM-0002,2026-09-15,FARM-0002-POU-HERD,poultry,183,1,0,38.06,90.64,84.05,6.56,-0.4916,33.0668,-0.53060918052559
FARM-0003,2026-09-15,FARM-0003-SHE-HERD,sheep,292,2,0,38.47,81.88,85.65,6.96,-4.7842,23.9608,0.014378021378717043
FARM-0004,2026-09-15,FARM-0004-GOA-HERD,goat,427,5,2,42.70082156166431,82.05,88.69,7.24,-23.9005,34.2501,0.395869062711732
FARM-0005,2026-09-15,FARM-0005-SWI-HERD,swine,188,3,1,38.69,87.95,84.74,6.78,-22.7204,43.9779,-0.23086621947822056
FARM-0006,2026-09-15,FARM-0006-SWI-HERD,swine,74,1,0,37.71,88.69,85.22,8.1,-15.0953,24.7324,1.5675915468059904
FARM-0007,2026-09-15,FARM-0007-CAT-HERD,cattle,478,13,3,37.17,94.03,86.08,7.03,-6.4921,20.3898,0.10975078171197108
FARM-0008,2026-09-15,FARM-0008-GOA-HERD,goat,391,10,1,38.74,93.12,86.77,7.85,3.8264,37.465,1.2269745456157988
FARM-0009,2026-09-15,FARM-0009-POU-HERD,poultry,494,7,1,38.54,88.52,81.01,7.49,1.3723,40.5749,0.7364860639019236
FARM-0010,2026-09-15,FARM-0010-SHE-HERD,sheep,436,17,2,38.77,82.07,80.94,7.42,-5.9612,41.3072,0.6411133035686696
FARM-0001,2026-09-16,FARM-0001-SHE-HERD,sheep,77,15,0,38.93,92.58,87.1,6.56,-10.2362,21.5335,-0.53060918052559
FARM-0002,2026-09-16,FARM-0002-GOA-HERD,goat,147,4,2,39.38,85.15,90.38,7.45,-2.2026,27.1829,0.6819873437114929
FARM-0003,2026-09-16,FARM-0003-CAT-HERD,cattle,412,8,2,38.61,88.06,82.58,6.9,-28.0857,21.8485,-0.06737005890692842
FARM-0004,2026-09-16,FARM-0004-SHE-HERD,sheep,354,9,2,38.57,83.4,91.19,6.37,-11.8163,27.4619,-0.789478101430135
FARM-0005,2026-09-16,FARM-0005-SWI-HERD,swine,76,1,0,38.76,89.73,81.82,7.61,-24.6341,29.6002,0.8999822244732157
FARM-0006,2026-09-16,FARM-0006-POU-HERD,poultry,464,5,1,38.58,80.64,86.56,6.46,-1.5732,33.6232,-0.6668559810016662
FARM-0007,2026-09-16,FARM-0007-POU-HERD,poultry,81,1,0,38.35,94.55,90.32,6.53,-3.1987,39.4417,-0.5714832206684122
FARM-0008,2026-09-16,FARM-0008-POU-HERD,poultry,290,5,1,37.29,100.51,79.32,7.58,-20.5593,25.44,0.8591081843303925
FARM-0009,2026-09-16,FARM-0009-SWI-HERD,swine,248,5,1,38.62,91.77,83.03,6.58,-22.4586,32.1883,-0.5033598204303741
FARM-0010,2026-09-16,FARM-0010-POU-HERD,poultry,99,3,0,38.33,89.66,84.99,7.33,-16.9952,35.4883,0.5184911831402008
FARM-0001,2026-09-17,FARM-0001-POU-HERD,poultry,189,5,0,37.93,88.23,90.53,7.56,-27.9779,27.5471,0.8318588242351764
FARM-0002,2026-09-17,FARM-0002-GOA-HERD,goat,415,16,4,37.83,90.09,87.47,7.0,-8.0892,44.4449,0.06887674156914775
FARM-0003,2026-09-17,FARM-0003-GOA-HERD,goat,145,3,1,38.29,97.89,93.9,6.0,-2.1024,23.1761,-1.2935912631916189
FARM-0004,2026-09-17,FARM-0004-SWI-HERD,swine,54,0,0,38.36,95.37,81.64,7.41,-17.1585,22.4205,0.6274886235210623
FARM-0005,2026-09-17,FARM-0005-POU-HERD,poultry,319,4,1,38.3,93.81,86.89,6.8,-26.1595,35.8345,-0.2036168593830058
FARM-0006,2026-09-17,FARM-0006-SWI-HERD,swine,427,9,3,38.43,98.49,87.42,7.05,4.8204,40.1393,0.13700014180718584
FARM-0007,2026-09-17,FARM-0007-SWI-HERD,swine,470,16,4,39.16,86.7,82.01,6.78,-24.1099,44.2241,-0.23086621947822056
FARM-0008,2026-09-17,FARM-0008-POU-HERD,poultry,398,8,2,38.53,85.31,87.31,6.68,-23.2163,38.0633,-0.3671130199542979
FARM-0009,2026-09-17,FARM-0009-SWI-HERD,swine,371,4,1,38.12,80.52,94.54,7.33,3.6646,41.5165,0.5184911831402008
FARM-0010,2026-09-17,FARM-0010-SHE-HERD,sheep,295,6,2,38.78,89.5,78.27,6.83,3.964,25.1262,-0.16274281924018247
FARM-0001,2026-09-18,FARM-0001-CAT-HERD,cattle,401,13,1,38.47,89.69,90.17,6.81,-22.5562,30.4877,-0.18999217933539841
FARM-0002,2026-09-18,FARM-0002-SWI-HERD,swine,393,5,0,38.76,87.9,80.51,7.23,-28.2994,30.0169,0.38224438266412464
FARM-0003,2026-09-18,FARM-0003-SWI-HERD,swine,314,0,0,38.34,90.0,88.78,6.7,-6.9756,43.155,-0.33986365985908196
FARM-0004,2026-09-18,FARM-0004-GOA-HERD,goat,324,10,4,38.34,85.46,86.35,5.81,-8.7409,23.0437,-1.552460184096165
FARM-0005,2026-09-18,FARM-0005-POU-HERD,poultry,238,1,0,38.37,89.15,93.31,6.41,-26.8354,29.3186,-0.7349793812397043
FARM-0006,2026-09-18,FARM-0006-GOA-HERD,goat,76,1,0,37.48,93.72,88.43,7.77,-7.2579,29.2607,1.1179771052349374
FARM-0007,2026-09-18,FARM-0007-GOA-HERD,goat,152,2,0,39.08,89.08,88.16,6.3,-29.8422,24.3872,-0.8848508617633891
FARM-0008,2026-09-18,FARM-0008-GOA-HERD,goat,477,11,1,38.63,90.37,82.45,6.6,-7.6372,41.148,-0.47611046033515936
FARM-0009,2026-09-18,FARM-0009-GOA-HERD,goat,269,10,1,38.41,93.34,87.11,6.7,-5.3907,35.3024,-0.33986365985908196
FARM-0010,2026-09-18,FARM-0010-CAT-HERD,cattle,403,19,7,39.31,86.36,86.53,7.21,-27.3358,33.3966,0.3549950225689087
FARM-0001,2026-09-19,FARM-0001-CAT-HERD,cattle,64,1,0,38.62,89.36,80.24,6.86,-24.3651,40.2138,-0.12186877909735913
FARM-0002,2026-09-19,FARM-0002-GOA-HERD,goat,82,2,0,39.25,90.85,89.74,6.6,-19.2405,36.4111,-0.47611046033515936
FARM-0003,2026-09-19,FARM-0003-SHE-HERD,sheep,488,6,1,39.85,89.85,84.14,6.22,-2.6847,26.417,-0.9938483021442505
FARM-0004,2026-09-19,FARM-0004-CAT-HERD,cattle,373,8,1,38.38,81.06,84.29,7.8,-1.556,22.7261,1.1588511453777608
FARM-0005,2026-09-19,FARM-0005-SHE-HERD,sheep,78,1,0,37.3,92.13,90.41,7.55,-26.3856,24.6616,0.8182341441875691
FARM-0006,2026-09-19,FARM-0006-CAT-HERD,cattle,313,7,2,38.29,90.92,81.73,7.21,3.6181,40.832,0.3549950225689087
FARM-0007,2026-09-19,FARM-0007-SHE-HERD,sheep,498,4,1,39.07,85.5,83.13,6.96,-25.2243,31.6331,0.014378021378717043
FARM-0008,2026-09-19,FARM-0008-GOA-HERD,goat,409,7,2,38.67,89.63,75.09,6.99,3.4299,38.4295,0.05525206152154038
FARM-0009,2026-09-19,FARM-0009-SHE-HERD,sheep,192,3,0,38.1,88.93,82.45,7.33,-8.3038,42.3148,0.5184911831402008
FARM-0010,2026-09-19,FARM-0010-CAT-HERD,cattle,219,3,0,39.19,88.98,87.66,6.6,-20.0772,31.5891,-0.47611046033515936
FARM-0001,2026-09-20,FARM-0001-SWI-HERD,swine,308,2,0,38.81,94.37,82.9,7.29,-26.4869,20.1915,0.4639924629497701
FARM-0002,2026-09-20,FARM-0002-POU-HERD,poultry,193,5,1,38.12,94.34,87.41,7.36,-18.475,40.1139,0.5593652232830242
FARM-0003,2026-09-20,FARM-0003-POU-HERD,poultry,230,7,1,37.66,94.64,78.09,7.39,-3.2484,28.9531,0.6002392634258462
FARM-0004,2026-09-20,FARM-0004-CAT-HERD,cattle,387,7,1,37.75,84.87,80.14,6.82,-13.3503,25.1848,-0.17636749928778983
FARM-0005,2026-09-20,FARM-0005-SHE-HERD,sheep,265,5,1,38.41,92.51,85.66,7.28,-1.8105,33.035,0.4503677829021627
FARM-0006,2026-09-20,FARM-0006-CAT-HERD,cattle,283,4,1,38.5,82.99,81.54,7.41,-4.1406,41.8295,0.6274886235210623
FARM-0007,2026-09-20,FARM-0007-SWI-HERD,swine,471,6,1,38.73,79.69,87.86,7.85,-0.7722,44.3753,1.2269745456157988
FARM-0008,2026-09-20,FARM-0008-CAT-HERD,cattle,225,1,0,39.24,90.4,87.55,6.89,-0.2799,37.3827,-0.080994738954537
FARM-0009,2026-09-20,FARM-0009-SWI-HERD,swine,126,2,0,39.31,96.63,87.08,6.3,-25.5189,26.7371,-0.8848508617633891
FARM-0010,2026-09-20,FARM-0010-SWI-HERD,swine,430,7,1,38.81,91.47,88.45,6.8,0.4069,26.696,-0.2036168593830058
